,route,neighbourhood,sublocality,administrative_area,lat,long
356,Austin Street,Jamaica,Jamaica,Queens County,40.7083799,-73.8290102
357,North Drive,Rosebank,Rosebank,Richmond County,40.606691,-74.0724094
358,201 Place,St. Albans,St. Albans,Queens County,40.6933533,-73.7503369
359,Saint Marks Place,,Manhattan,New York County,40.7276196,-73.9848906
360,165th Avenue,Jamaica,Jamaica,Queens County,40.6481943,-73.8452374
361,Barclay Avenue,Southeast Annadale,Southeast Annadale,Richmond County,40.525422,-74.166603
362,134th Street,Jamaica,Jamaica,Queens County,40.6780476,-73.8056181
363,Hunter Place,West Brighton,West Brighton,Richmond County,40.6333513,-74.1021333
364,158th Avenue,Howard Beach,Howard Beach,Queens County,40.660323,-73.8455929
365,107th Avenue,Jamaica,Jamaica,Queens County,40.6784764,-73.8476859
366,Bedell Lane,Canarsie,Canarsie,Kings County,40.6444117,-73.9100389
367,Navigator Court,Prince's Bay,Prince's Bay,Richmond County,40.5132339,-74.1959753
368,115th Avenue,South Ozone Park,South Ozone Park,Queens County,40.6776809,-73.8166457
369,Carlton Place,Flushing,Flushing,Queens County,40.7644631,-73.8297531
370,Mead Street,Van Nest,Van Nest,Bronx County,40.842629,-73.8665973
371,College Point Boulevard,College Point,College Point,Queens County,40.7827104,-73.8457691
372,West 138th Street,,Manhattan,New York County,40.8180374,-73.9436858
373,Preston Avenue,Eltingville,Eltingville,Richmond County,40.5343966,-74.1582874
374,Prospect Park West,Park Slope,Park Slope,Kings County,40.6712528,-73.9716506
375,Pitkin Avenue,Brownsville,Brownsville,Kings County,40.6685186,-73.9175924
376,Atlantic Avenue,Cypress Hills,Cypress Hills,Kings County,40.6753179,-73.9008593
377,Alderbrook Road,Hudson Hill,Hudson Hill,Bronx County,40.89582,-73.9110766
378,89th Avenue,Jamaica,Jamaica,Queens County,40.7051444,-73.8030054
379,Ocean View Avenue,Brighton Beach,Brighton Beach,Kings County,40.578639,-73.965449
380,Lake Avenue,Sheepshead Bay,Sheepshead Bay,Kings County,40.5844107,-73.9380366
381,Cedarcliff Road,Mid Island,Mid Island,Richmond County,40.6171535,-74.0890497
382,East 7th Street,Midwood,Midwood,Kings County,40.6179636,-73.9681702
383,Cedarcliff Road,Mid Island,Mid Island,Richmond County,40.6170275,-74.0893192
384,Lander Street,Briarwood,Briarwood,Queens County,40.7142299,-73.8152
385,164th Drive,Jamaica,Jamaica,Queens County,40.6511537,-73.8284146
386,Arthur Avenue,West Bronx,West Bronx,Bronx County,40.8492324,-73.8914043
387,113th Street,Flushing,Flushing,Queens County,40.7185125,-73.834819
388,41st Street,Long Island City,Long Island City,Queens County,40.759972,-73.9173868
389,Jefferson Avenue,Midland Beach,Midland Beach,Richmond County,40.5742632,-74.086609
390,Van Siclen Avenue,East New York,East New York,Kings County,40.6694978,-73.8897534
391,Fulton Street,Ocean Hill,Ocean Hill,Kings County,40.6789582,-73.9203193
392,Beach 44th Street,Far Rockaway,Far Rockaway,Queens County,40.593404,-73.775651
393,East New York Avenue,Brownsville,Brownsville,Kings County,40.6743408,-73.9056237
394,Topping Avenue,West Bronx,West Bronx,Bronx County,40.8457524,-73.9059682
395,Fieldston Road,North Riverdale,North Riverdale,Bronx County,40.902657,-73.901871
396,DeKalb Avenue,Bushwick,Bushwick,Kings County,40.699454,-73.924234
397,West End Avenue,,Manhattan,New York County,40.7833319,-73.9815796
398,35th Street,Long Island City,Long Island City,Queens County,40.7639241,-73.9190583
399,Edgewater Park,East Bronx,East Bronx,Bronx County,40.8233271,-73.8110122
400,East 87th Street,Canarsie,Canarsie,Kings County,40.6415965,-73.9105958
401,Coddington Avenue,Pelham Bay,Pelham Bay,Bronx County,40.8409818,-73.8292936
402,Spratt Avenue,Bay Terrace,Bay Terrace,Richmond County,40.5586967,-74.1351001
403,Pelham Parkway South,Pelham Bay,Pelham Bay,Bronx County,40.8554764,-73.8287193
404,Sutter Avenue,Jamaica,Jamaica,Queens County,40.6747343,-73.8239749
405,Wellbrook Avenue,Manor Heights,Manor Heights,Richmond County,40.6012318,-74.1300175
406,Mill Avenue,Mill Basin,Mill Basin,Kings County,40.608799,-73.9128174
407,Jamie Court,Mid Island,Mid Island,Richmond County,40.6221107,-74.1499982
408,Wainwright Avenue,Arden Heights,Arden Heights,Richmond County,40.5528489,-74.1699382
409,East 34th Street,Little Haiti,Little Haiti,Kings County,40.6428139,-73.9451438
410,South Avenue,Mariners Harbor,Mariners Harbor,Richmond County,40.6330671,-74.1659477
411,173rd Street,Jamaica,Jamaica,Queens County,40.7083753,-73.787158
412,Gervil Street,Rossville,Rossville,Richmond County,40.546573,-74.213449
413,Brigham Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.5956263,-73.933927
414,79th Street,Howard Beach,Howard Beach,Queens County,40.6633466,-73.8542803
415,East 211th Street,Williamsbridge,Williamsbridge,Bronx County,40.8762047,-73.8603621
416,16th Road,Flushing,Flushing,Queens County,40.784332,-73.8045713
417,Davis Avenue,Randall Manor,Randall Manor,Richmond County,40.6426635,-74.1108512
418,Austin Place,Mid Island,Mid Island,Richmond County,40.6316141,-74.0858954
419,East 32nd Street,Little Haiti,Little Haiti,Kings County,40.6402886,-73.9463493
420,76th Street,Dyker Heights,Dyker Heights,Kings County,40.6198659,-74.0087151
421,Lurting Avenue,Morris Park,Morris Park,Bronx County,40.846624,-73.8520911
422,Cunard Avenue,Mid Island,Mid Island,Richmond County,40.6142391,-74.0884134
423,East 235th Street,East Bronx,East Bronx,Bronx County,40.8972473,-73.868898
424,102nd Street,Flushing,Flushing,Queens County,40.7608129,-73.8669195
425,B 140 Street,Rockaway Park,Rockaway Park,Queens County,40.5704687,-73.8558742
426,Olympia Boulevard,Midland Beach,Midland Beach,Richmond County,40.575138,-74.090531
427,DeKalb Avenue,Downtown Brooklyn,Downtown Brooklyn,Kings County,40.6903851,-73.9825343
428,Escanaba Avenue,Great Kills,Great Kills,Richmond County,40.5505648,-74.1599018
429,Canal Street,,Manhattan,New York County,40.7241501,-74.0080814
430,Waverly Place,,Manhattan,New York County,40.7323524,-73.9993358
431,City Island Avenue,City Island,City Island,Bronx County,40.8432844,-73.7846028
432,Durland Place,Canarsie,Canarsie,Kings County,40.641648,-73.9064568
433,Nansen Street,Flushing,Flushing,Queens County,40.7120962,-73.8518076
434,East 38th Street,Marine Park,Marine Park,Kings County,40.6099147,-73.9287144
435,Queens Boulevard,Kew Gardens,Kew Gardens,Queens County,40.7121373,-73.8277084
436,Michael Court,Flushing,Flushing,Queens County,40.7874921,-73.7858086
437,Vera Street,Midland Beach,Midland Beach,Richmond County,40.5849224,-74.0968781
438,Beach 109th Street,Rockaway Park,Rockaway Park,Queens County,40.5809134,-73.8302012
439,Hobart Avenue,Pelham Bay,Pelham Bay,Bronx County,40.8528127,-73.8312235
440,61st Avenue,Flushing,Flushing,Queens County,40.7565472,-73.7339718
441,Watchogue Road,Mid Island,Mid Island,Richmond County,40.613911,-74.133028
442,97th Street,Jamaica,Jamaica,Queens County,40.6542535,-73.8350556
443,Atlantic Avenue,Dongan Hills,Dongan Hills,Richmond County,40.5929709,-74.0937822
444,Westervelt Avenue,Mid Island,Mid Island,Richmond County,40.6422293,-74.0830445
445,157th Street,Flushing,Flushing,Queens County,40.78403,-73.80579
446,Avenue M,Flatlands,Flatlands,Kings County,40.6212165,-73.9324344
447,Independence Avenue,Hudson Hill,Hudson Hill,Bronx County,40.9007702,-73.9110778
448,Holder Place,Flushing,Flushing,Queens County,40.7179519,-73.8427778
449,Radnor Street,Jamaica,Jamaica,Queens County,40.7169141,-73.7831551
450,Alderton Street,Flushing,Flushing,Queens County,40.7188985,-73.8587988
451,Thompson Street,,Manhattan,New York County,40.7278952,-73.9998294
452,98th Street,Rego Park,Rego Park,Queens County,40.7343409,-73.859014
453,West 161st Street,,Manhattan,New York County,40.8374911,-73.9456039
454,Cayuga Avenue,Fieldston,Fieldston,Bronx County,40.8915963,-73.8989828
455,Overing Street,Westchester Square,Westchester Square,Bronx County,40.8409736,-73.8456248
456,Centreville Street,Jamaica,Jamaica,Queens County,40.6765364,-73.8351774
457,East 87th Street,,Manhattan,New York County,40.7772579,-73.9476695
458,Main Street,Tottenville,Tottenville,Richmond County,40.5075446,-74.2461088
459,41st Road,Flushing,Flushing,Queens County,40.7645123,-73.7595302
460,Rensselaer Avenue,Woodrow,Woodrow,Richmond County,40.5501403,-74.1810379
461,Broadway,,Manhattan,New York County,40.7814599,-73.9806864
462,Windham Loop,New Springville,New Springville,Richmond County,40.5763909,-74.1631382
463,108th Street,South Richmond Hill,South Richmond Hill,Queens County,40.6898026,-73.836542
464,Forest Avenue,Port Richmond,Port Richmond,Richmond County,40.6275175,-74.1233766
465,132nd Avenue,Jamaica,Jamaica,Queens County,40.669692,-73.8003434
466,Beach 120th Street,Rockaway Park,Rockaway Park,Queens County,40.576751,-73.8398387
467,Beach 101st Street,Rockaway Park,Rockaway Park,Queens County,40.5853532,-73.8227113
468,Herkimer Street,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6781418,-73.9250576
469,East 106th Street,Canarsie,Canarsie,Kings County,40.6479766,-73.8936697
470,Ocean Parkway,Midwood,Midwood,Kings County,40.622324,-73.9695073
471,Huguenot Avenue,Prince's Bay,Prince's Bay,Richmond County,40.5294592,-74.1903024
472,Johnson Avenue,Riverdale,Riverdale,Bronx County,40.8876529,-73.909649
473,8th Avenue,Park Slope,Park Slope,Kings County,40.6733809,-73.9732475
474,Grant Avenue,Cypress Hills,Cypress Hills,Kings County,40.6895034,-73.8684501
475,170th Street,Jamaica,Jamaica,Queens County,40.7092156,-73.7912209
476,Goodridge Avenue,Fieldston,Fieldston,Bronx County,40.8985084,-73.902753
477,Clearview Expressway,Bayside,Bayside,Queens County,40.7646585,-73.780903
478,Coleman Street,Marine Park,Marine Park,Kings County,40.6095856,-73.9253159
479,West 21st Street,,Manhattan,New York County,40.7474926,-74.0072666
480,82nd Avenue,Jamaica,Jamaica,Queens County,40.7386816,-73.7202723
481,East 217th Street,Williamsbridge,Williamsbridge,Bronx County,40.8817944,-73.8617772
482,Richmond Terrace,Mid Island,Mid Island,Richmond County,40.6479387,-74.0852701
483,Robinson Avenue,East Bronx,East Bronx,Bronx County,40.8147819,-73.8265252
484,107th Avenue,Jamaica,Jamaica,Queens County,40.7084501,-73.7316272
485,Wall Street,,Manhattan,New York County,40.7075029,-74.011653
486,South 2nd Street,Williamsburg,Williamsburg,Kings County,40.711175,-73.957086
487,Frost Street,Williamsburg,Williamsburg,Kings County,40.7185648,-73.9422548
488,50th Street,Sunset Park,Sunset Park,Kings County,40.6468782,-74.0136737
489,East 37th Street,Marine Park,Marine Park,Kings County,40.6087059,-73.9290715
490,73rd Street,Dyker Heights,Dyker Heights,Kings County,40.624169,-74.010925
491,Point Breeze Avenue,Breezy Point,Breezy Point,Queens County,40.5607533,-73.9207539
492,127th Street,Jamaica,Jamaica,Queens County,40.6793322,-73.8130504
493,West 4th Street,Bensonhurst,Bensonhurst,Kings County,40.6094348,-73.9777343
494,East 134th Street,Mott Haven,Mott Haven,Bronx County,40.8056419,-73.9229736
495,88th Street,Howard Beach,Howard Beach,Queens County,40.6674344,-73.8479327
496,Woodhull Avenue,Pelham Gardens,Pelham Gardens,Bronx County,40.8616602,-73.8421016
497,181st Street,Flushing,Flushing,Queens County,40.7365353,-73.7913358
498,15th Avenue,Bayside,Bayside,Queens County,40.7873388,-73.7794685
499,Booth Street,Rego Park,Rego Park,Queens County,40.7267837,-73.8587799
500,East 57th Street,,Manhattan,New York County,40.7595774,-73.964779
501,West 5th Road,Broad Channel,Broad Channel,Queens County,40.6110299,-73.8195062
502,Ocean Promenade,Rockaway Park,Rockaway Park,Queens County,40.5756358,-73.8423199
503,Locust Point Drive,East Bronx,East Bronx,Bronx County,40.8165837,-73.8006996
504,Endeavor Place,College Point,College Point,Queens County,40.7928823,-73.8449212
505,Rolling Hill Green,Rossville,Rossville,Richmond County,40.55065,-74.193355
506,Glenmore Avenue,East New York,East New York,Kings County,40.6744942,-73.8883757
507,Chevy Chase Street,Jamaica,Jamaica,Queens County,40.7202893,-73.7786927
508,82nd Place,Flushing,Flushing,Queens County,40.7239521,-73.8747783
509,Grand Central Parkway,Little Neck,Little Neck,Queens County,40.7564761,-73.7212008
510,Greentree Lane,Bulls Head,Bulls Head,Richmond County,40.6085756,-74.1610387
511,Henry Hudson Parkway West,Hudson Hill,Hudson Hill,Bronx County,40.8938465,-73.9091368
512,East 38th Street,,Manhattan,New York County,40.7489947,-73.9783819
513,108th Street,Forest Hills,Forest Hills,Queens County,40.724514,-73.8458441
514,Bement Avenue,Randall Manor,Randall Manor,Richmond County,40.6368544,-74.1124571
515,Kessel Street,Flushing,Flushing,Queens County,40.7157274,-73.8563447
516,Broome Street,,Manhattan,New York County,40.7162732,-73.9849864
517,East 19th Street,,Manhattan,New York County,40.7375348,-73.9872447
518,66th Avenue,Flushing,Flushing,Queens County,40.7189686,-73.8626041
519,East 78th Street,,Manhattan,New York County,40.7732125,-73.9564279
520,75th Street,Middle Village,Middle Village,Queens County,40.721725,-73.8839773
521,111th Avenue,Jamaica,Jamaica,Queens County,40.6798316,-73.82277
522,Adams Street,Downtown Brooklyn,Downtown Brooklyn,Kings County,40.6985714,-73.9881911
523,69th Street,Flushing,Flushing,Queens County,40.7227469,-73.8941061
524,Queens Boulevard,Elmhurst,Elmhurst,Queens County,40.7373082,-73.878333
525,17th Avenue,Bayside,Bayside,Queens County,40.7855084,-73.7762312
526,7th Avenue,Park Slope,Park Slope,Kings County,40.6621056,-73.9857576
527,88th Road,Jamaica,Jamaica,Queens County,40.7282381,-73.7158123
528,Clay Pit Road,Charleston,Charleston,Richmond County,40.5395581,-74.2229079
529,82nd Street,Bensonhurst,Bensonhurst,Kings County,40.6085532,-73.998257
530,Bradley Avenue,Manor Heights,Manor Heights,Richmond County,40.6005525,-74.1314512
531,Knapp Street,Gerritsen Beach,Gerritsen Beach,Kings County,40.5988908,-73.9334675
532,Jerome Street,East New York,East New York,Kings County,40.664748,-73.884184
533,Pine Street,East New York,East New York,Kings County,40.6672674,-73.8686224
534,Thieriot Avenue,East Bronx,East Bronx,Bronx County,40.8363242,-73.8654755
535,Tarring Street,Oakwood,Oakwood,Richmond County,40.5646314,-74.1243252
536,West 118th Street,,Manhattan,New York County,40.8061576,-73.9550949
537,Prospect Place,Crown Heights,Crown Heights,Kings County,40.6750114,-73.9554645
538,Main Street,Dumbo,Dumbo,Kings County,40.702988,-73.9907803
539,Mount Olivet Crescent,Flushing,Flushing,Queens County,40.7135475,-73.895855
540,Commerce Street,,Manhattan,New York County,40.7313539,-74.0050572
541,Clove Road,Castleton Corners,Castleton Corners,Richmond County,40.6189484,-74.1071576
542,Arthur Kill Road,Great Kills,Great Kills,Richmond County,40.5663057,-74.1529549
543,,Fort Hamilton,Fort Hamilton,Kings County,40.6249201,-74.0404698
544,West 12th Street,Gravesend,Gravesend,Kings County,40.5906586,-73.9818321
545,West 24 Street,,Manhattan,New York County,40.7448219,-73.9944632
546,Yellowstone Boulevard,Forest Hills,Forest Hills,Queens County,40.7280894,-73.8494828
547,3rd Street,New Dorp,New Dorp,Richmond County,40.5735927,-74.1200228
548,Corlear Avenue,Kingsbridge,Kingsbridge,Bronx County,40.8844018,-73.9028342
549,61st Street,Flushing,Flushing,Queens County,40.7555333,-73.9016851
550,Schofield Street,City Island,City Island,Bronx County,40.845063,-73.783581
551,62nd Street,Mapleton,Mapleton,Kings County,40.6149237,-73.9789281
552,63rd Road,Rego Park,Rego Park,Queens County,40.7322223,-73.8588845
553,Four Corners Road,Todt Hill,Todt Hill,Richmond County,40.59194,-74.1087406
554,Katan Avenue,Arden Heights,Arden Heights,Richmond County,40.5499354,-74.1709931
555,Bonnie Lane,Bayside,Bayside,Queens County,40.7859137,-73.7868778
556,Legion Street,Brownsville,Brownsville,Kings County,40.6601546,-73.9163716
557,Richmond Road,New Dorp,New Dorp,Richmond County,40.5758238,-74.1227343
558,Colon Avenue,Great Kills,Great Kills,Richmond County,40.5598117,-74.1585168
559,Portland Place,Mid Island,Mid Island,Richmond County,40.6337278,-74.0936101
560,Brigham Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.5987787,-73.9350489
561,Taft Avenue,Mid Island,Mid Island,Richmond County,40.6409456,-74.0859933
562,East 69th Street,,Manhattan,New York County,40.7699341,-73.9675072
563,118th Street,Kew Gardens,Kew Gardens,Queens County,40.7041499,-73.83371
564,Yellowstone Boulevard,Forest Hills,Forest Hills,Queens County,40.7226099,-73.8495
565,Schenck Avenue,Cypress Hills,Cypress Hills,Kings County,40.6795412,-73.8904428
566,West 158th Street,,Manhattan,New York County,40.833945,-73.9432359
567,Manor Road,Douglaston,Douglaston,Queens County,40.7773521,-73.7464296
568,East 197th Street,West Bronx,West Bronx,Bronx County,40.8681745,-73.8897652
569,Jewel Avenue,Flushing,Flushing,Queens County,40.7312799,-73.8192399
570,Ocean Avenue,Manhattan Beach,Manhattan Beach,Kings County,40.5783044,-73.9471644
571,Jaffray Street,Manhattan Beach,Manhattan Beach,Kings County,40.5790771,-73.9425262
572,Mulberry Avenue,Bulls Head,Bulls Head,Richmond County,40.5955552,-74.1677939
573,213th Street,Jamaica,Jamaica,Queens County,40.7121557,-73.7452804
574,East 35th Street,,Manhattan,New York County,40.748098,-73.9824791
575,Woodhaven Boulevard,Woodhaven,Woodhaven,Queens County,40.6999899,-73.8539
576,Decatur Avenue,West Bronx,West Bronx,Bronx County,40.8683656,-73.8832093
577,Academy Street,,Manhattan,New York County,40.8640024,-73.9231918
578,Webster Avenue,East Bronx,East Bronx,Bronx County,40.8995193,-73.8623678
579,Audley Street,Kew Gardens,Kew Gardens,Queens County,40.7090268,-73.8335998
580,Cypress Avenue,Seagate,Seagate,Kings County,40.5784148,-74.0064631
581,East 53rd Street,,Manhattan,New York County,40.7557937,-73.9642805
582,Vandam Street,,Manhattan,New York County,40.7266327,-74.0088321
583,88th Street,Jamaica,Jamaica,Queens County,40.6628113,-73.8453503
584,Greenleaf Avenue,Castleton Corners,Castleton Corners,Richmond County,40.6265387,-74.1263932
585,East 232nd Street,East Bronx,East Bronx,Bronx County,40.8909806,-73.8528183
586,86th Street,Howard Beach,Howard Beach,Queens County,40.6649999,-73.84857
