,route,neighbourhood,sublocality,administrative_area,lat,long
1028,227th Street,Jamaica,Jamaica,Queens County,40.6973209,-73.7315945
1029,Kensington Street,Manhattan Beach,Manhattan Beach,Kings County,40.5786182,-73.9420211
1030,Avenue P,Midwood,Midwood,Kings County,40.611854,-73.9477154
1031,Edgewater Park,East Bronx,East Bronx,Bronx County,40.8227774,-73.8084775
1032,Woodrow Road,Rossville,Rossville,Richmond County,40.5467194,-74.1923203
1033,Lander Avenue,Bulls Head,Bulls Head,Richmond County,40.6131085,-74.1603745
1034,Buffalo Street,Bay Terrace,Bay Terrace,Richmond County,40.5604211,-74.1344639
1035,Pinehurst Avenue,,Manhattan,New York County,40.849705,-73.94014
1036,63rd Avenue,Flushing,Flushing,Queens County,40.7355842,-73.8491198
1037,Eldridge Avenue,Mid Island,Mid Island,Richmond County,40.6242127,-74.1357292
1038,Brighton Street,Tottenville,Tottenville,Richmond County,40.5022937,-74.2429452
1039,199th Street,Flushing,Flushing,Queens County,40.7349473,-73.7733194
1040,Jefferson Avenue,Midland Beach,Midland Beach,Richmond County,40.585111,-74.1036081
1041,East 101st Street,Canarsie,Canarsie,Kings County,40.6384339,-73.8899834
1042,West 5th Street,Coney Island,Coney Island,Kings County,40.5792324,-73.9713245
1043,Bay 49th Street,,Brooklyn,Kings County,40.5855131,-73.9883977
1044,143rd Street,Flushing,Flushing,Queens County,40.7699832,-73.8257555
1045,Lott Lane,New Springville,New Springville,Richmond County,40.5755968,-74.1636272
1046,Sedgwick Avenue,West Bronx,West Bronx,Bronx County,40.8766081,-73.8998497
1047,Maple Avenue,Flushing,Flushing,Queens County,40.7541793,-73.8310866
1048,Vineland Avenue,Woodrow,Woodrow,Richmond County,40.5464716,-74.1880551
1049,Major Avenue,Arrochar,Arrochar,Richmond County,40.5990416,-74.0674289
1050,65th Street,Flushing,Flushing,Queens County,40.71397,-73.8970573
1051,Ditmars Boulevard,East Elmhurst,East Elmhurst,Queens County,40.7679759,-73.899664
1052,Webster Avenue,East Bronx,East Bronx,Bronx County,40.8992144,-73.8624103
1053,West 16th Street,,Manhattan,New York County,40.7398044,-73.9980373
1054,East 58th Street,Mill Basin,Mill Basin,Kings County,40.6149015,-73.9185548
1055,6th Avenue,Sunset Park,Sunset Park,Kings County,40.6410259,-74.0112793
1056,Ramona Avenue,Woodrow,Woodrow,Richmond County,40.5355587,-74.2075918
1057,Rochambeau Avenue,Norwood,Norwood,Bronx County,40.8754624,-73.8807502
1058,173rd Street,Flushing,Flushing,Queens County,40.724706,-73.7957477
1059,South Railroad Street,Woodrow,Woodrow,Richmond County,40.5395766,-74.1810757
1060,Court Street,Carroll Gardens,Carroll Gardens,Kings County,40.6746458,-73.9992831
1061,76th Avenue,Jamaica,Jamaica,Queens County,40.7444053,-73.7237661
1062,Benedict Avenue,Parkchester,Parkchester,Bronx County,40.8343858,-73.8590313
1063,260th Street,Glen Oaks,Glen Oaks,Queens County,40.7516659,-73.7183001
1064,Brighton 1st Road,Brighton Beach,Brighton Beach,Kings County,40.5756277,-73.9667833
1065,Melissa Court,Bayside,Bayside,Queens County,40.7879226,-73.7863723
1066,East 56th Street,Flatlands,Flatlands,Kings County,40.6245872,-73.9219517
1067,West 152nd Street,,Manhattan,New York County,40.8305666,-73.9469641
