,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,SQFT_W,PRICE_W,BATH_clean,sublocality,administrative_area
1921,Multi-family home for sale,1180000,6,5.0,1810.0,40.793,-73.842,7.501634457883413,13.981025843899115,5.0,College Point,Queens County
1922,Co-op for sale,650000,2,2.0,1200.0,40.722,-73.841,7.0909098220799835,13.384729180332174,2.0,Forest Hills,Queens County
1923,Co-op for sale,589000,2,2.0,1100.0,40.612,-74.035,7.00397413672268,13.286183160425152,2.0,Fort Hamilton,Kings County
1924,House for sale,515000,3,1.0,882.0,40.684,-73.728,6.78332520060396,13.151924121391561,1.0,Jamaica,Queens County
1925,Multi-family home for sale,750000,2,3.0,1530.0,40.613,-74.128,7.333676395657684,13.527829818844937,3.0,Castleton Corners,Richmond County
1926,Condo for sale,1499999,2,2.0,901.0,40.772,-73.98,6.804614520062624,14.22097566607244,2.0,Manhattan,New York County
1927,House for sale,1525000,3,2.3738608579684373,2572.0,40.635,-73.956,7.8528278122817445,14.23750562376114,2.0,Flatbush,Kings County
1928,Condo for sale,1395000,1,1.0,,40.747,-74.002,,14.148405690083225,1.0,Manhattan,New York County
1929,Multi-family home for sale,900000,5,3.0,2487.0,40.853,-73.917,7.81923445385907,13.710151153416941,3.0,Morris Heights,Bronx County
1930,Townhouse for sale,1099999,4,2.0,1874.0,40.598,-73.95,7.536363938404511,13.9108207377686,2.0,Sheepshead Bay,Kings County
1931,Pending,498888,1,1.0,750.0,40.789,-73.787,6.621405651764134,13.120138905099342,1.0,Bayside,Queens County
1932,Co-op for sale,199000,1,1.0,,40.717,-73.811,,12.201065128819632,1.0,Jamaica,Queens County
1933,Co-op for sale,1495000,4,4.0,2600.0,40.764,-73.961,7.8636512654486515,14.217637433703022,4.0,Manhattan,New York County
1934,Townhouse for sale,869000,3,2.0,,40.619,-73.939,,13.675099554994853,2.0,Marine Park,Kings County
1935,Co-op for sale,239000,3,1.0,450.0,40.614,-74.035,6.111467339502679,12.384223015005313,1.0,Fort Hamilton,Kings County
1936,Pending,1299000,4,2.0,2080.0,40.635,-74.034,7.640603826393634,14.07710606547538,2.0,Bay Ridge,Kings County
1937,Multi-family home for sale,2350000,6,4.0,2700.0,40.783,-73.796,7.901377353792616,14.669926311652166,4.0,Flushing,Queens County
1938,House for sale,1788000,4,4.0,2716.0,40.766,-73.763,7.907283609426348,14.396608793999556,4.0,Flushing,Queens County
1939,Co-op for sale,325000,4,1.0,,40.821,-73.94,,12.691583538230217,1.0,Manhattan,New York County
1940,Condo for sale,299900,1,1.0,525.0,40.881,-73.917,6.26530121273771,12.611207699176356,1.0,Spuyten Duyvil,Bronx County
1941,Co-op for sale,439999,1,2.0,1215.0,40.756,-73.721,7.103322062526113,12.994530005894443,2.0,Little Neck,Queens County
1942,House for sale,899000,4,2.0,1224.0,40.599,-74.127,7.110696122978827,13.70903942580019,2.0,Manor Heights,Richmond County
1943,Townhouse for sale,4950000,4,2.3738608579684373,3800.0,40.714,-73.965,8.24301946898925,15.414898336565054,2.0,Williamsburg,Kings County
1944,Townhouse for sale,1895000,5,4.0,2400.0,40.679,-74.011,7.783640596221253,14.45472992420301,4.0,Red Hook,Kings County
